mode,domain,seed,milestone,cov,occ_phys,occ_rew,fwd,geom,vsa,retdec
p2e,finger,3,300000,0.812293,0.06613333523273468,0.066077,0.75499,0.86948,-0.629839,-0.00508
p2e,finger,3,400000,0.826382,0.06806749850511551,0.068007,0.61985,0.70994,-0.672086,-0.03295
p2e,finger,3,500000,0.833172,0.06644955277442932,0.066391,0.56974,0.64499,-0.729404,-0.02943
p2e,finger,4,100000,0.74231,0.07582999765872955,0.07576,0.80333,0.90824,-0.612242,-0.03605
p2e,finger,4,200000,0.803979,0.06683000177145004,0.06676,0.76246,0.86064,-0.572372,-0.02474
p2e,finger,4,300000,0.817306,0.07381000369787216,0.073737,0.78303,0.87607,-0.526012,-0.00168
p2e,finger,4,400000,0.824929,0.07636749744415283,0.076302,0.82628,0.88144,-0.464056,-0.01731
p2e,finger,4,500000,0.843289,0.0752510279417038,0.075181,0.93709,0.94444,-0.361418,-0.02107
p2e,finger,5,100000,0.758065,0.07134000211954117,0.07125,0.7791,0.78701,-0.336074,0.14621
p2e,finger,5,200000,0.785548,0.06996499747037888,0.06986,0.8369,0.89599,-0.643587,-0.00229
p2e,finger,5,300000,0.804227,0.07272333651781082,0.07263,0.61671,0.70493,-0.586128,-0.05214
p2e,finger,5,400000,0.82188,0.0713450014591217,0.071263,0.55928,0.63048,-0.674814,-0.0272
p2e,finger,5,500000,0.832112,0.07123926281929016,0.071155,0.90482,0.91962,-0.45253,-0.01641
p2e,walker,1,100000,1.110788,,0.99888,0.30988,0.69715,,0.69193
p2e,walker,1,200000,1.222841,,0.99896,0.67035,0.92575,,0.55544
p2e,walker,1,300000,1.29085,,0.998987,0.6315,0.91517,,0.25102
p2e,walker,1,400000,1.382174,,0.999,0.80259,0.95666,,0.23313
p2e,walker,1,500000,1.48324,,0.999,0.7588,0.93851,,0.22515
p2e,walker,2,100000,1.065638,,0.99888,0.47846,0.80407,,0.46496
p2e,walker,2,200000,1.196715,,0.99896,0.71704,0.87965,,0.76369
p2e,walker,2,300000,1.29428,,0.998987,0.61265,0.90116,,0.10784
p2e,walker,2,400000,1.411697,,0.999,0.7233,0.92516,,0.07633
p2e,walker,2,500000,1.502817,,0.999,0.76862,0.94648,,0.08029
p2e,walker,3,100000,1.010766,,0.99888,0.58874,0.85593,,0.59222
p2e,walker,3,200000,1.189601,,0.99896,0.63394,0.91287,,0.20026
p2e,walker,3,300000,1.297406,,0.998987,0.65976,0.63978,,-0.09497
p2e,walker,3,400000,1.393642,,0.999,0.72084,0.92655,,0.68005
p2e,walker,3,500000,1.45195,,0.998999,0.78767,0.95117,,0.44879
p2e,walker,4,100000,1.027991,,0.99888,0.556,0.8803,,0.60056
p2e,walker,4,200000,1.141172,,0.99896,0.56806,0.87359,,0.2049
p2e,walker,4,300000,1.257271,,0.998987,0.57851,0.88062,,0.2515
p2e,walker,4,400000,1.358527,,0.999,0.78678,0.94068,,0.39344
p2e,walker,4,500000,1.436568,,0.999,0.7468,0.92303,,0.2909
p2e,walker,5,100000,1.066255,,0.99888,0.55869,0.79911,,0.46825
p2e,walker,5,200000,1.204736,,0.99896,0.77448,0.9505,,0.78145
p2e,walker,5,300000,1.303988,,0.998987,0.74841,0.92526,,0.05612
p2e,walker,5,400000,1.403612,,0.999,0.68039,0.88334,,0.18622
p2e,walker,5,500000,1.468921,,0.99897,0.76815,0.95157,,0.24598
random,cup,1,100000,0.607627,0.2784000039100647,0.11961,0.98679,0.9955,-0.007472,0.94682
random,cup,1,200000,0.6107,0.29730498790740967,0.099705,0.98959,0.99603,-0.005705,0.93377
random,cup,1,300000,0.60862,0.29563334584236145,0.10526,0.99334,0.99733,-0.002891,0.96837
random,cup,1,400000,0.608169,0.2952199876308441,0.106698,0.98356,0.99519,-0.009341,0.93179
random,cup,1,500000,0.606841,0.2882218658924103,0.120796,0.99735,0.99862,-0.001106,0.95583
random,cup,2,100000,0.603755,0.3150300085544586,0.0459,0.99001,0.99626,-0.00384,0.92302
random,cup,2,200000,0.611049,0.29982998967170715,0.096585,0.9697,0.99023,-0.014208,0.87739
random,cup,2,300000,0.608407,0.30168667435646057,0.090923,0.9952,0.99693,-0.001995,0.97399
random,cup,2,400000,0.60946,0.3038350045681,0.08461,0.99497,0.99671,-0.002503,0.92584
random,cup,2,500000,0.605778,0.3042193353176117,0.085659,0.98138,0.99122,-0.014998,0.91469
random,cup,3,100000,0.609855,0.2975499927997589,0.10993,0.98518,0.99444,-0.008597,0.94422
random,cup,3,200000,0.610677,0.3082149922847748,0.082435,0.99462,0.99441,-0.002197,0.94814
random,cup,3,400000,0.606541,0.3076325058937073,0.084818,0.97944,0.99403,-0.009819,0.93555
random,cup,4,100000,0.617035,0.29596999287605286,0.09228,0.98068,0.99311,-0.012071,0.93324
random,cup,4,200000,0.612666,0.3053649961948395,0.09246,0.99284,0.99566,-0.003338,0.93315
random,cup,4,400000,0.609466,0.30935749411582947,0.0836,0.99171,0.99638,-0.007615,0.92877
random,cup,5,100000,0.609696,0.2998499870300293,0.09989,0.98332,0.99211,-0.007579,0.92807
random,cup,5,200000,0.609319,0.30428001284599304,0.092895,0.98024,0.99317,-0.010922,0.93494
random,cup,5,400000,0.611297,0.3089424967765808,0.07528,0.99403,0.99776,-0.003345,0.81631
random,finger,1,100000,0.685514,0.09015999734401703,0.09,0.84013,0.86457,-0.166052,-0.75794
random,finger,1,200000,0.697255,0.08981499820947647,0.0897,0.84341,0.8567,-0.042074,0.18542
random,finger,1,300000,0.695974,0.07849666476249695,0.078413,0.89616,0.91093,-0.036647,-0.80409
random,finger,1,400000,0.696951,0.07470250129699707,0.074622,0.93125,0.94376,-0.032626,-0.82254
random,finger,1,500000,0.696664,0.07301045954227448,0.07293,0.77951,0.78771,-0.027501,0.01713
random,finger,2,100000,0.686831,0.06724999845027924,0.06718,0.77037,0.7878,-0.20729,-9.67951
random,finger,2,200000,0.69306,0.06466499716043472,0.064585,0.83055,0.83665,-0.041514,-0.33431
random,finger,2,300000,0.692212,0.06291666626930237,0.06283,0.85503,0.87021,-0.045002,-0.34493
random,finger,2,400000,0.695834,0.07020749896764755,0.070123,0.86832,0.8856,-0.034956,-0.14085
random,finger,2,500000,0.699565,0.07414217293262482,0.07406,0.90362,0.91629,-0.030277,-4.15406
random,finger,3,100000,0.676842,0.10774999856948853,0.10761,0.83267,0.85633,-0.170746,-0.11296
random,finger,3,200000,0.690627,0.09509500116109848,0.09496,0.88403,0.9002,-0.097166,0.11642
random,finger,3,300000,0.695222,0.08145333081483841,0.08135,0.83827,0.85356,-0.048159,0.08176
random,finger,3,400000,0.697387,0.07176250219345093,0.07168,0.86419,0.87142,-0.027802,-2.50108
random,finger,4,100000,0.684758,0.07050999999046326,0.07041,0.80341,0.81819,-0.172044,-3.42825
random,finger,4,200000,0.69371,0.08814000338315964,0.088065,0.79653,0.81164,-0.049291,-0.77158
random,finger,4,300000,0.692598,0.07641666382551193,0.076343,0.82186,0.83497,-0.038325,-0.03345
random,finger,4,400000,0.699151,0.07228749990463257,0.072225,0.86231,0.87296,-0.040499,-0.15839
random,finger,4,500000,0.701011,0.06836770474910736,0.068307,0.88733,0.90186,-0.038377,-0.54436
random,finger,5,100000,0.683809,0.07440999895334244,0.07434,0.88841,0.90147,-0.212762,-0.27579
random,finger,5,200000,0.688998,0.06687500327825546,0.066825,0.78516,0.79501,-0.138348,-0.11679
random,finger,5,300000,0.696503,0.07171666622161865,0.07167,0.77652,0.79826,-0.17795,-1.07066
random,finger,5,400000,0.700691,0.06431499868631363,0.064272,0.88591,0.90691,-0.034083,-2.68061
random,walker,1,100000,1.24103,,0.99888,0.53141,0.89533,,0.08107
random,walker,1,200000,1.241376,,0.99896,0.67037,0.92058,,0.20842
random,walker,1,300000,1.241775,,0.998987,0.75586,0.9367,,0.09979
random,walker,1,400000,1.245213,,0.999,0.80423,0.9486,,0.17317
random,walker,1,500000,1.240584,,0.99897,0.81726,0.94496,,0.09741
random,walker,2,100000,1.249334,,0.99888,0.51637,0.88162,,-0.03777
random,walker,2,200000,1.245774,,0.99896,0.658,0.90713,,-0.10128
random,walker,2,300000,1.242002,,0.998987,0.76742,0.94376,,0.31277
random,walker,2,400000,1.245242,,0.999,0.78882,0.93172,,0.08973
random,walker,2,500000,1.232496,,0.998971,0.81756,0.95008,,0.03698
random,walker,3,100000,1.243563,,0.99888,0.54477,0.90086,,0.05579
random,walker,3,200000,1.244857,,0.99896,0.67655,0.88562,,0.27433
random,walker,3,300000,1.23681,,0.998987,0.77081,0.93833,,-0.01149
random,walker,3,400000,1.241445,,0.999,0.80666,0.94936,,0.25124
random,walker,4,100000,1.242273,,0.99888,0.53519,0.89997,,0.24556
random,walker,4,200000,1.234627,,0.99896,0.67171,0.86292,,0.17839
random,walker,4,300000,1.234904,,0.998987,0.77736,0.94257,,0.19838
random,walker,4,400000,1.233521,,0.999,0.81338,0.94852,,0.15064
random,walker,4,500000,1.23732,,0.998999,0.83086,0.95029,,0.18495
random,walker,5,100000,1.235982,,0.99888,0.52852,0.88175,,0.11788
random,walker,5,200000,1.243148,,0.99896,0.66162,0.92261,,0.29318
random,walker,5,300000,1.239524,,0.998987,0.74522,0.92332,,-0.07638
random,walker,5,400000,1.243176,,0.999,0.61506,0.93376,,0.1475
