run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,reward_aware
ax1wm_cup_fq1s0_seed14,0.103685,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.19684386118201705,0.10941303023258775,0.10941303023258775,,0.23820407388072784,0.21309764953191296,0.13297631170333157,0.13297631170333157,0.21292960538480307,0
ax1wm_cup_fq1s0_seed15,0.002803,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.040709985238335994,0.0383424503128912,0.0383424503128912,,0.04346424132266097,0.04114513381781314,0.03356020771504691,0.03356020771504691,0.042472944079694944,0
ax1wm_cup_fq1s0_seed15,0.004602,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.05038314745659226,0.04649662802599027,0.04649662802599027,,0.05371951603531791,0.05109832838782785,0.04253865037567492,0.04253865037567492,0.05231981880574642,0
ax1wm_cup_fq1s0_seed15,0.016858,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.0710796187946551,0.05685175421644689,0.05685175421644689,,0.07957973204720366,0.07371022922772325,0.05465312589189085,0.05465312589189085,0.07515365249512349,0
ax1wm_cup_fq1s0_seed15,0.097092,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.19282478631698793,0.11095299748808654,0.11095299748808654,,0.23813204459380014,0.20804512350241444,0.11202968396816704,0.11202968396816704,0.21317392073390778,0
ax1wm_cup_fq1s0_seed16,0.010245,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.05038580225141804,0.04173110455221017,0.04173110455221017,,0.04890348950393156,0.0519765198240033,0.06202724314777329,0.06202724314777329,0.04751530997560441,0
ax1wm_cup_fq1s0_seed16,0.013093,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.06111085607420477,0.05005285856973326,0.05005285856973326,,0.05896715234312717,0.06314570218627576,0.07679105918669236,0.07679105918669236,0.057239683734712825,0
ax1wm_cup_fq1s0_seed16,0.02133,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.08084034384301748,0.06283898365730689,0.06283898365730689,,0.0832880639467002,0.08416864132951994,0.08702770021333153,0.08702770021333153,0.07930578022565365,0
ax1wm_cup_fq1s0_seed16,0.098455,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.20008460525534938,0.11706358161841857,0.11706358161841857,,0.24166130640268396,0.2155185904083315,0.1320901678325355,0.1320901678325355,0.2172097515389208,0
ax1wm_cup_fq1s0_seed2,0.003904,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.03695837331359426,0.0336608318680843,0.0336608318680843,,0.04003519625827719,0.0375644553867071,0.029483593722998698,0.029483593722998698,0.038801469651001376,0
ax1wm_cup_fq1s0_seed2,0.004431,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.046333382352692694,0.04259130922087544,0.04259130922087544,,0.049594869147967624,0.047021982884595914,0.038620036538846325,0.038620036538846325,0.04823767471072459,0
ax1wm_cup_fq1s0_seed2,0.017382,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.0677225623567586,0.05305268801406154,0.05305268801406154,,0.07720572683270996,0.07043489661363676,0.048451363233943,0.048451363233943,0.07250212882536101,0
ax1wm_cup_fq1s0_seed2,0.093041,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1862276949459905,0.10777174496646594,0.10777174496646594,,0.23152821940444135,0.20081301218373707,0.10279254299967736,0.10279254299967736,0.20724175486662177,0
ax1wm_cup_fq1s0_seed3,0.004195,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.03985160758071521,0.036307832326171734,0.036307832326171734,,0.043318520692953895,0.04050294697656853,0.031294267115444495,0.031294267115444495,0.041961636736535385,0
ax1wm_cup_fq1s0_seed3,0.005889,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.04877232822105088,0.04379862766228136,0.04379862766228136,,0.05257136999721757,0.04968756764306422,0.040270302295473376,0.040270302295473376,0.05087133212786428,0
ax1wm_cup_fq1s0_seed3,0.019062,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.07010109024558615,0.0540132212827364,0.0540132212827364,,0.07952263597431876,0.07307559957598318,0.05214336006070684,0.05214336006070684,0.07455489535116686,0
ax1wm_cup_fq1s0_seed3,0.102898,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1898383692463662,0.10307102150713265,0.10307102150713265,,0.23338755535482536,0.2059688130557251,0.11846824809834465,0.11846824809834465,0.20781371857289802,0
ax1wm_cup_fq1s0_seed4,-0.009347,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.042897738218002586,0.050793588598431576,0.050793588598431576,,0.044857212824546945,0.04144649539160068,0.030291324864906478,0.030291324864906478,0.0460061689078071,0
ax1wm_cup_fq1s0_seed4,-0.009637,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.053274116766099104,0.06141299616778767,0.06141299616778767,,0.05496463542872554,0.05177643446869908,0.041365133438040304,0.041365133438040304,0.05621423983212858,0
