seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
49,1951411,True,0.9919682083857728,0.9714285714285696,False,0.3409371428571428,False,1.0,0.38222222222222224,0.5737207589790156,0.2548919730389959,0.5405714121730378,12,0.985009821098682,13,0.9036830618028433,uniform,1.0
50,1937628,True,0.7475167886897001,0.5428571428571439,True,0.19371428571428595,True,1.0,0.36444444444444446,0.5467194941443868,0.23604788948136587,0.45303639295055603,7,0.9974081712279137,13,0.8154354962808573,uniform,1.0
51,1709899,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.36444444444444446,0.5776972791960227,0.255121501328441,0.5016354767152914,8,0.9969191162752887,13,0.8579069390516324,uniform,1.0
52,2000000,False,0.6704099707781734,0.5565714285714285,False,0.32543999999999973,False,1.0,0.8711111111111111,0.7771365,0.350187,0.24427,3,0.9973495,13,0.3120599171072179,uniform,1.0
53,1602584,True,0.867614195970294,0.6714285714285712,True,0.34868571428571404,True,1.0,0.6311111111111111,0.662818922440259,0.29340614906925316,0.62052160760372,9,0.9971221477314137,13,0.8803585795787009,uniform,1.0
54,2000000,False,0.6013383250825935,0.41428571428571564,True,0.1859657142857143,True,1.0,0.37777777777777777,0.906806,0.4166505,0.3353095,5,0.996958,13,0.3662667976342243,uniform,1.0
55,2000000,False,0.9802829199033936,0.8857142857142848,True,0.38742857142857146,True,1.0,0.23555555555555555,0.5461135,0.2388705,0.536523,11,0.9936865,13,0.9039668742740118,uniform,1.0
56,1525843,True,0.9461408266197031,0.7999999999999979,True,0.34868571428571427,True,1.0,0.5777777777777777,0.6780232304372075,0.29441430081600795,0.5847947659097299,10,0.9966805234876721,13,0.8488355915306326,uniform,1.0
57,2000000,False,0.7302950243566281,0.6714285714285722,False,0.3564342857142855,False,1.0,0.8622222222222222,0.979337,0.4722885,0.3056165,4,0.997067,13,0.3082947873002233,uniform,1.0
58,2000000,False,0.28164897207234924,0.2857142857142859,False,0.10073142857142847,False,1.0,0.8755555555555555,0.9806425,0.4521475,0.0,0,0.9772365,13,0.0,uniform,1.0
59,1611473,True,0.7068412986370184,0.5000000000000004,True,0.2712000000000001,True,1.0,0.3333333333333333,0.5514774371025764,0.2373114535583283,0.43983796191434793,7,0.9970970658521737,13,0.7867222618034343,uniform,1.0
