run_id,deter_std,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_pepxq1ms1_seed1,0.17755357485755202,6.372254,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,34.49873670981725,,28.589214319068684,28.589214319068684,34.961468572881635,34.961468572881635,,28.589214319068684,34.961468572881635,9.09210216991625,6.896996909799942,9.263984951547844,1
ax1wm_finger_pepxq1ms1_seed1,0.17755357485755202,7.200935,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,37.693301067058464,,31.015687477429452,31.015687477429452,38.21662199420643,38.21662199420643,,31.015687477429452,38.21662199420643,9.21458953718884,6.868573095971144,9.398445563393947,1
ax1wm_finger_pepxq1ms1_seed1,0.17755357485755202,10.604078,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,45.79470942968865,,35.961706080336434,35.961706080336434,46.565784078556874,46.565784078556874,,35.961706080336434,46.565784078556874,9.513581278618625,6.831183616810034,9.723926862945133,1
ax1wm_finger_pepxq1ms1_seed2,0.18115674776310142,12.531737,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,31.098312144759017,96.69287545340401,19.476409523329348,19.414381148127315,32.00814627936963,32.00814627936963,,19.414381148127315,32.01221063051965,8.714011514849547,4.998570523408558,9.004879124849248,1
ax1wm_finger_pepxq1ms1_seed2,0.18115674776310142,12.982027,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,32.25158334220846,,20.212267620891286,20.212267620891286,33.194294888993845,33.194294888993845,,20.212267620891286,33.194294888993845,8.763567018575998,5.06848183872094,9.052902355071666,1
ax1wm_finger_pepxq1ms1_seed2,0.18115674776310142,14.166171,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,35.462862494236816,,22.326204066943003,22.326204066943003,36.492375234907314,36.492375234907314,,22.326204066943003,36.492375234907314,8.857900833014563,4.97823169271627,9.16194838297785,1
ax1wm_finger_pepxq1ms1_seed2,0.18115674776310142,17.480908,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,43.43107308605436,,27.221288227923562,27.221288227923562,44.702195826853185,44.702195826853185,,27.221288227923562,44.702195826853185,9.001309996431505,4.677669746658513,9.340356904988274,1
ax1wm_finger_pepxq1ms1_seed3,0.17914232986206238,7.428939,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,31.72718379106416,93.17840685163226,24.83760377985118,24.782705269235795,32.26654255799913,32.26654255799913,,24.782705269235795,32.27036984782244,8.21337502619104,4.6769490763485235,8.490228235901869,1
ax1wm_finger_pepxq1ms1_seed3,0.17914232986206238,7.790973,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,33.05431546717386,,25.829096783362097,25.829096783362097,33.620069970082895,33.620069970082895,,25.829096783362097,33.620069970082895,8.241000570186538,4.776147373586667,8.512308108917118,1
ax1wm_finger_pepxq1ms1_seed3,0.17914232986206238,9.026582,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,36.42223587991842,,28.051651884547145,28.051651884547145,37.07823397241526,37.07823397241526,,28.051651884547145,37.07823397241526,8.315288613615945,4.777449729357231,8.592547113252078,1
ax1wm_finger_pepxq1ms1_seed3,0.17914232986206238,13.019854,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,44.698563073260054,,32.62544689962519,32.62544689962519,45.64530065521603,45.64530065521603,,32.62544689962519,45.64530065521603,8.580371986874932,4.673659024714866,8.88672470724952,1
ax1wm_finger_pepxq1ms1_seed4,0.17832429083474227,11.679323,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,29.66701133286322,93.72986275809151,18.83563563219794,18.77547272309979,30.514958150029457,30.514958150029457,,18.77547272309979,30.518930147338907,10.66909831338517,3.8095967711391916,11.206102352469248,1
ax1wm_finger_pepxq1ms1_seed4,0.17832429083474227,12.120328,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,30.86753431440393,,19.62734395792267,19.62734395792267,31.747672146353842,31.747672146353842,,19.62734395792267,31.747672146353842,10.709541922944599,3.8242831366281593,11.248676630490573,1
ax1wm_finger_pepxq1ms1_seed4,0.17832429083474227,13.373695,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,34.142233252756725,,21.740458704182938,21.740458704182938,35.1141535455271,35.1141535455271,,21.740458704182938,35.1141535455271,10.73344961760542,3.7341730465420704,11.281979096792819,1
ax1wm_finger_pepxq1ms1_seed4,0.17832429083474227,17.455095,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,42.57600340105383,,26.390153991507592,26.390153991507592,43.8452491957196,43.8452491957196,,26.390153991507592,43.8452491957196,10.80655012295236,3.4379450343758147,11.384374047084052,1
ax1wm_finger_pepxq1ms1_seed5,0.17630248456928066,12.89284,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,30.719970094718974,100.39565059116909,18.76318136233144,18.697605589482936,31.65602117718068,31.65602117718068,,18.697605589482936,31.660340310852995,9.33727684558428,4.168950023652217,9.74188530898224,1
ax1wm_finger_pepxq1ms1_seed5,0.17630248456928066,13.390832,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,31.838923178652923,,19.420488890524656,19.420488890524656,32.811320752352664,32.811320752352664,,19.420488890524656,32.811320752352664,9.461855297641208,4.150017334974658,9.877786825476482,1
ax1wm_finger_pepxq1ms1_seed5,0.17630248456928066,14.838398,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,35.140835351527855,,21.380803307766687,21.380803307766687,36.219201541795364,36.219201541795364,,21.380803307766687,36.219201541795364,9.529864594454027,4.144288052529639,9.951929284379098,1
ax1wm_finger_pepxq1ms1_seed5,0.17630248456928066,18.459397,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,43.425170556528,,26.3080469768181,26.3080469768181,44.767444080184255,44.767444080184255,,26.3080469768181,44.767444080184255,9.831283241800769,4.115323587722868,10.279511664656273,1
ax1wm_finger_pepxq1ms1_seed6,0.17562993892264103,11.837117,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,31.684840192977006,100.84617832728794,20.707126502418802,20.64275039927741,32.54424324951574,32.54424324951574,,20.64275039927741,32.54853488143453,11.034258111346253,3.969184753456297,11.587355578596032,1
