run_id,arm,side,seed,head_trained,smoke,probeset_sha,probe_r2,probe_mse_all,n_probe_mse_all,probe_mse_in_regime,n_probe_mse_in_regime,probe_mse_out_regime,n_probe_mse_out_regime,probe_mse_rewarded,n_probe_mse_rewarded,probe_mse_unrewarded,n_probe_mse_unrewarded,cons_err_all,n_cons_err_all,cons_err_in_regime,n_cons_err_in_regime,cons_err_out_regime,n_cons_err_out_regime,cons_err_rewarded,n_cons_err_rewarded,cons_err_unrewarded,n_cons_err_unrewarded,rew_head_mse_all,n_rew_head_mse_all,rew_head_mse_in_regime,n_rew_head_mse_in_regime,rew_head_mse_out_regime,n_rew_head_mse_out_regime,rew_head_mse_rewarded,n_rew_head_mse_rewarded,rew_head_mse_unrewarded,n_rew_head_mse_unrewarded
tm2wm_finger_awareq1s1_seed13,aware,1,13,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7386604780448873,0.016937582405037538,30030,0.05368366763534858,2094,0.014183204452851424,27936,0.0524572839685797,2092,0.014277863897237043,27938,0.00018151923675610912,60000,0.00022049586854543977,5440,0.000177633003674475,54560,0.00022049586854543977,5440,0.000177633003674475,54560,0.00883836273696879,60000,0.013885668675830796,5440,0.008335112291451757,54560,0.013885668675830796,5440,0.008335112291451757,54560
tm2wm_finger_awareq1s1_seed14,aware,1,14,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7283341879268961,0.01760683590524805,30030,0.08113114375901112,2094,0.012845241523597856,27936,0.07983098029825232,2092,0.01294748627141009,27938,0.00017978731049649165,60000,0.00020797625980937,5440,0.00017697668211925452,54560,0.00020797625980937,5440,0.00017697668211925452,54560,0.007624944580980963,60000,0.013991083134396967,5440,0.0069901976284409495,54560,0.013991083134396967,5440,0.0069901976284409495,54560
tm2wm_finger_awareq1s1_seed15,aware,1,15,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7649081997811071,0.015236450687470236,30030,0.06716053064436978,2094,0.011344375106508481,27936,0.06582434402350959,2092,0.011448424599024594,27938,0.00018328661540183096,60000,0.0002215917907517785,5440,0.00017946733105608838,54560,0.0002215917907517785,5440,0.00017946733105608838,54560,0.008559850636303844,60000,0.01590017060201685,5440,0.00782797122623275,54560,0.01590017060201685,5440,0.00782797122623275,54560
tm2wm_finger_awareq1s1_seed16,aware,1,16,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.717455531162662,0.018311888642858796,30030,0.08171533631537577,2094,0.013559353583213514,27936,0.0803583452998989,2092,0.013665844282971618,27938,0.0001802575016273181,60000,0.00020102492660448528,5440,0.00017818684928355363,54560,0.00020102492660448528,5440,0.00017818684928355363,54560,0.008960381530297917,60000,0.014819447130087616,5440,0.008376193171374604,54560,0.014819447130087616,5440,0.008376193171374604,54560
tm2wm_finger_awareq1s1_seed2,aware,1,2,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.8072041970947059,0.012495219914019246,30030,0.05038343791777179,2094,0.00965523106451116,27936,0.049497811965389854,2092,0.00972446243061072,27938,0.0001833723856171673,60000,0.00023570792985263807,5440,0.00017815417886055145,54560,0.00023570792985263807,5440,0.00017815417886055145,54560,0.006742721170677083,60000,0.010463796051801835,5440,0.006371704906869922,54560,0.010463796051801835,5440,0.006371704906869922,54560
tm2wm_finger_awareq1s1_seed3,aware,1,3,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7910108095332233,0.01354472377086961,30030,0.057719369604451974,2094,0.010233522869683992,27936,0.056663863835118226,2092,0.010315958611788498,27938,0.00019359687903865202,60000,0.00023459474972201754,5440,0.000189509114806293,54560,0.00023459474972201754,5440,0.000189509114806293,54560,0.009345739888338546,60000,0.016818605382919072,5440,0.00860064479503726,54560,0.016818605382919072,5440,0.00860064479503726,54560
tm2wm_finger_awareq1s1_seed4,aware,1,4,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.733941053612043,0.017243451336141573,30030,0.07472032101044526,2094,0.012935155048269581,27936,0.07362085894978279,2092,0.013021905888087403,27938,0.0001923434443124582,60000,0.00022675059259393707,5440,0.00018891281955712015,54560,0.00022675059259393707,5440,0.00018891281955712015,54560,0.007630452962602556,60000,0.020597802961124248,5440,0.006337520704685438,54560,0.020597802961124248,5440,0.006337520704685438,54560
tm2wm_finger_awareq1s1_seed5,aware,1,5,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7568866809332382,0.015756330480174066,30030,0.06436760143654366,2094,0.01211257327145994,27936,0.06323921854591742,2092,0.012200807470884386,27938,0.00020346490304204963,60000,0.00025866669671046336,5440,0.00019796091188449517,54560,0.00025866669671046336,5440,0.00019796091188449517,54560,0.0062587688376629985,60000,0.01858078970987093,5440,0.005030180246299156,54560,0.01858078970987093,5440,0.005030180246299156,54560
tm2wm_finger_awareq1s1_seed6,aware,1,6,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7796206165989472,0.014282929496472467,30030,0.059766983962813706,2094,0.010873579193905223,27936,0.058800469879827566,2092,0.010949451993359186,27938,0.00017648451702438782,60000,0.00021862622070655975,5440,0.00017228270492704515,54560,0.00021862622070655975,5440,0.00017228270492704515,54560,0.008518110948489912,60000,0.020458856809514647,5440,0.007327538047390671,54560,0.020458856809514647,5440,0.007327538047390671,54560
tm2wm_finger_awareq1s1_seed7,aware,1,7,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7870182746121055,0.013803482525479402,30030,0.0388244360176506,2094,0.011927985796792169,27936,0.03788715602386818,2092,0.012000094847097652,27938,0.00017880317532900183,60000,0.000220942525851342,5440,0.00017460159785756617,54560,0.000220942525851342,5440,0.00017460159785756617,54560,0.009630975474912387,60000,0.011100961275258876,5440,0.009484407975757609,54560,0.011100961275258876,5440,0.009484407975757609,54560
